Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Station,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone,Date,Hour,DayOfWeek,Month,Year,CPU_Status,Memory_Status,Disk_Status,System_Health_Score,System_Health_Status
Station1_LOG00015,SRV096,CL-4,2025-08-01 03:48:00,59.13,64.05,59.49,4.72,12.68,608.73,4.32,Station1,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,3,Friday,8,2025,Medium,Medium,Medium,39.10999999999999,Poor
Station1_LOG00016,SRV073,CL-3,2025-08-01 08:12:00,35.99,55.575,35.83,28.75,11.0,981.86,7.35,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-01,8,Friday,8,2025,Low,Medium,Low,57.535000000000004,Fair
Station1_LOG00017,SRV097,CL-3,2025-08-02 22:20:00,69.55,62.19,74.52,13.93,12.4,225.95,4.09,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,22,Saturday,8,2025,Medium,Medium,Medium,31.24666666666667,Poor
Station1_LOG00018,SRV071,CL-2,2025-08-02 22:33:00,76.61,30.5,49.33,0.86,13.82,146.02,0.18,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,22,Saturday,8,2025,Medium,Low,Low,47.85333333333333,Fair
Station1_LOG00019,SRV020,CL-9,2025-08-02 20:18:00,70.23,42.22,65.07,25.64,12.98,656.71,1.09,Station1,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,20,Saturday,8,2025,Medium,Low,Medium,40.826666666666675,Fair
Station1_LOG00020,SRV012,CL-3,2025-08-02 15:09:00,65.03,36.57,48.31,1.52,21.74,804.1,2.72,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,15,Saturday,8,2025,Medium,Low,Low,50.03,Fair
Station1_LOG00021,SRV071,CL-2,2025-08-01 12:00:00,59.5,88.15,41.7,3.42,0.68,458.93,4.74,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,12,Friday,8,2025,Medium,High,Low,36.883333333333326,Poor
Station1_LOG00022,SRV043,CL-8,2025-08-02 06:13:00,18.02,57.13,7.6,29.17,22.15,906.9,2.93,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,6,Saturday,8,2025,Low,Medium,Low,72.41666666666667,Good
Station1_LOG00023,SRV094,CL-8,2025-08-01 02:22:00,79.66,71.04,40.72,18.96,14.48,695.5,8.79,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,2,Friday,8,2025,Medium,Medium,Low,36.193333333333335,Poor
Station1_LOG00024,SRV056,CL-4,2025-08-01 10:38:00,23.52,54.28,39.85,28.84,21.98,949.75,1.95,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-01,10,Friday,8,2025,Low,Medium,Low,60.78333333333333,Good
Station1_LOG00025,SRV084,CL-9,2025-08-01 17:37:00,56.46,85.97,67.35,29.03,2.94,996.11,3.65,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,17,Friday,8,2025,Medium,High,Medium,30.073333333333338,Poor
Station1_LOG00026,SRV070,CL-1,2025-08-01 19:56:00,51.64,33.77,9.36,4.08,24.31,390.32,8.82,Station1,host-070,10.0.46.35,Linux,Singapore,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,19,Friday,8,2025,Medium,Low,Low,68.41,Good
Station1_LOG00027,SRV041,CL-10,2025-08-01 14:24:00,16.68,29.11,41.7,9.6,15.83,942.46,0.6,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,14,Friday,8,2025,Low,Low,Low,70.83666666666666,Good
Station1_LOG00028,SRV097,CL-3,2025-08-02 14:09:00,22.94,57.61,72.63,26.89,1.75,286.72,7.76,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,14,Saturday,8,2025,Low,Medium,Medium,48.94,Fair
Station1_LOG00029,SRV097,CL-3,2025-08-02 20:50:00,13.77,66.45,12.54,1.67,21.44,315.56,9.14,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,20,Saturday,8,2025,Low,Medium,Low,69.08,Good
Station1_LOG00030,SRV010,CL-4,2025-08-02 21:57:00,26.34,46.75,21.02,20.88,12.875,462.45,7.04,Station1,host-010,10.0.44.34,Linux,London,Charlie,CL-4,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,21,Saturday,8,2025,Low,Low,Low,68.63,Good
Station1_LOG00031,SRV050,CL-1,2025-08-01 11:31:00,73.7,61.13,9.75,7.73,12.875,121.22,7.22,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,11,Friday,8,2025,Medium,Medium,Low,51.806666666666665,Fair
Station1_LOG00032,SRV050,CL-1,2025-08-02 20:11:00,12.96,22.55,41.7,7.81,13.85,956.93,0.79,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-02,20,Saturday,8,2025,Low,Low,Low,74.26333333333334,Good
Station1_LOG00033,SRV032,CL-4,2025-08-01 23:09:00,94.33,86.09,6.42,24.5,8.71,175.52,4.01,Station1,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,23,Friday,8,2025,High,High,Low,37.72,Poor
Station1_LOG00034,SRV026,CL-2,2025-08-02 19:00:00,52.48,36.36,50.47,5.17,4.15,716.15,4.0,Station1,host-026,10.0.46.172,Linux,Frankfurt,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,19,Saturday,8,2025,Medium,Low,Medium,53.56333333333333,Fair
Station1_LOG00035,SRV041,CL-10,2025-08-02 07:08:00,66.78,34.18,52.54,8.57,12.875,967.49,9.14,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,CL-10,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,7,Saturday,8,2025,Medium,Low,Medium,48.833333333333336,Fair
Station1_LOG00036,SRV067,CL-5,2025-08-01 06:04:00,21.8,77.86,41.94,12.73,19.15,662.34,5.21,Station1,host-067,10.0.93.42,Linux,Mumbai,Hannah,CL-5,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,6,Friday,8,2025,Low,Medium,Low,52.800000000000004,Fair
Station1_LOG00037,SRV035,CL-6,2025-08-02 05:07:00,54.41,86.14,6.0,25.69,5.6,939.05,4.97,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,5,Saturday,8,2025,Medium,High,Low,51.15,Fair
Station1_LOG00038,SRV043,CL-8,2025-08-01 11:01:00,38.5,79.03,63.02,3.23,8.65,193.11,2.06,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,11,Friday,8,2025,Low,Medium,Medium,39.81666666666666,Poor
Station1_LOG00039,SRV043,CL-8,2025-08-02 04:15:00,79.79,77.36,14.33,1.3,21.33,679.94,6.58,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,4,Saturday,8,2025,Medium,Medium,Low,42.839999999999996,Fair
Station1_LOG00040,SRV082,CL-10,2025-08-01 17:38:00,41.26,50.29,31.04,21.96,4.52,618.71,0.48,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,17,Friday,8,2025,Low,Medium,Low,59.13666666666666,Fair
Station1_LOG00041,SRV035,CL-6,2025-08-01 14:55:00,48.42,47.29,5.71,7.86,5.33,133.36,3.89,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,14,Friday,8,2025,Low,Low,Low,66.19333333333333,Good
Station1_LOG00042,SRV011,CL-7,2025-08-01 20:34:00,69.11,53.03,40.93,27.66,20.9,505.97,1.36,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,20,Friday,8,2025,Medium,Medium,Low,45.64333333333334,Fair
Station1_LOG00043,SRV048,CL-9,2025-08-01 10:07:00,38.84,51.4,17.71,24.53,0.81,318.05,4.57,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,10,Friday,8,2025,Low,Medium,Low,64.01666666666665,Good
Station1_LOG00044,SRV082,CL-10,2025-08-01 22:34:00,54.02,62.73,56.77,20.54,7.41,571.59,5.73,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,22,Friday,8,2025,Medium,Medium,Medium,42.16,Fair
Station1_LOG00045,SRV097,CL-3,2025-08-01 15:06:00,22.87,55.575,47.73,20.29,11.57,955.94,4.25,Station1,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,15,Friday,8,2025,Low,Medium,Low,57.94166666666666,Fair
Station1_LOG00046,SRV074,CL-3,2025-08-02 03:45:00,18.01,62.41,28.88,0.97,6.98,230.74,4.48,Station1,host-074,10.0.246.17,Windows,New York,Hannah,CL-3,hannah@xyzcorp.com,+1-202-151-5538,2025-08-02,3,Saturday,8,2025,Low,Medium,Low,63.56666666666667,Good
Station1_LOG00047,SRV082,CL-10,2025-08-01 21:25:00,81.47,71.39,63.97,18.09,6.12,520.48,9.62,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,21,Friday,8,2025,High,Medium,Medium,27.72333333333333,Poor
Station1_LOG00048,SRV012,CL-3,2025-08-01 02:33:00,84.35,63.6,71.62,24.14,22.31,800.49,6.02,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,2,Friday,8,2025,High,Medium,Medium,26.810000000000002,Poor
Station1_LOG00049,SRV014,CL-10,2025-08-01 10:53:00,17.97,32.59,64.67,23.8,17.18,909.97,0.48,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,2025-08-01,10,Friday,8,2025,Low,Low,Medium,61.589999999999996,Good
Station1_LOG00050,SRV011,CL-7,2025-08-02 23:15:00,40.0,59.04,47.33,18.3,14.56,386.62,1.81,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,23,Saturday,8,2025,Low,Medium,Low,51.21,Fair
Station1_LOG00051,SRV050,CL-1,2025-08-01 03:49:00,86.23,55.575,46.29,5.01,7.45,323.45,0.49,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,3,Friday,8,2025,High,Medium,Low,37.30166666666667,Poor
Station1_LOG00052,SRV023,CL-1,2025-08-01 01:07:00,83.34,55.575,19.88,8.03,21.64,931.27,2.5,Station1,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,1,Friday,8,2025,High,Medium,Low,47.06833333333333,Fair
Station1_LOG00053,SRV020,CL-9,2025-08-02 08:30:00,32.0,57.22,22.94,15.91,3.81,932.23,8.22,Station1,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,8,Saturday,8,2025,Low,Medium,Low,62.61333333333334,Good
Station1_LOG00054,SRV014,CL-10,2025-08-02 22:15:00,30.43,20.54,22.21,2.34,18.77,521.85,2.8,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,22,Saturday,8,2025,Low,Low,Low,75.60666666666667,Good
Station1_LOG00055,SRV001,CL-8,2025-08-01 10:03:00,45.17,59.13,54.21,2.35,11.64,307.03,9.14,Station1,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405,2025-08-01,10,Friday,8,2025,Low,Medium,Medium,47.16333333333333,Fair
Station1_LOG00056,SRV048,CL-9,2025-08-02 22:59:00,58.01,63.79,20.84,14.46,4.67,899.03,1.55,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,22,Saturday,8,2025,Medium,Medium,Low,52.45333333333334,Fair
Station1_LOG00057,SRV028,CL-2,2025-08-02 18:08:00,23.22,33.61,35.78,3.81,2.63,508.24,3.98,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,CL-2,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,18,Saturday,8,2025,Low,Low,Low,69.13,Good
Station1_LOG00058,SRV077,CL-1,2025-08-01 09:51:00,91.01,77.01,76.93,20.85,6.33,823.64,8.97,Station1,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,2025-08-01,9,Friday,8,2025,High,Medium,Medium,18.349999999999994,Poor
Station1_LOG00059,SRV082,CL-10,2025-08-01 01:15:00,78.93,25.08,38.84,19.5,13.49,367.89,1.47,Station1,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213,2025-08-01,1,Friday,8,2025,Medium,Low,Low,52.383333333333326,Fair
Station1_LOG00060,SRV050,CL-1,2025-08-02 22:32:00,84.36,28.7,75.04,26.84,18.78,124.85,0.7,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896,2025-08-02,22,Saturday,8,2025,High,Low,Medium,37.29999999999999,Poor
Station1_LOG00061,SRV029,CL-2,2025-08-01 10:55:00,31.83,32.48,42.3,13.06,12.875,549.39,9.28,Station1,host-029,10.0.94.201,Windows,Mumbai,George,CL-2,george@xyzcorp.com,+1-202-749-4405,2025-08-01,10,Friday,8,2025,Low,Low,Low,64.46333333333334,Good
Station1_LOG00062,SRV078,CL-1,2025-08-02 04:01:00,11.1,39.73,50.78,6.52,17.16,508.43,6.37,Station1,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405,2025-08-02,4,Saturday,8,2025,Low,Low,Medium,66.13,Good
Station1_LOG00063,SRV027,CL-7,2025-08-01 05:11:00,56.21,44.83,61.32,23.62,4.63,671.06,6.83,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,5,Friday,8,2025,Medium,Low,Medium,45.88,Fair
Station1_LOG00064,SRV045,CL-2,2025-08-02 19:51:00,12.44,55.575,50.5,23.16,24.24,776.32,7.3,Station1,host-045,10.0.248.214,Linux,New York,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,19,Saturday,8,2025,Low,Medium,Medium,60.495,Good
Station1_LOG00065,SRV063,CL-10,2025-08-01 00:34:00,50.26,76.1,14.44,3.25,13.32,606.7,8.38,Station1,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896,2025-08-01,0,Friday,8,2025,Medium,Medium,Low,53.06666666666667,Fair
Station1_LOG00066,SRV014,CL-10,2025-08-02 09:59:00,77.96,88.04,74.86,7.85,14.09,395.38,4.88,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,CL-10,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,9,Saturday,8,2025,Medium,High,Medium,19.713333333333324,Poor
Station1_LOG00067,SRV027,CL-7,2025-08-01 20:13:00,22.67,28.7,71.97,14.78,2.03,513.87,6.68,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,20,Friday,8,2025,Low,Low,Medium,58.88666666666666,Fair
Station1_LOG00068,SRV040,CL-6,2025-08-02 10:53:00,40.92,31.2,22.55,21.94,18.74,733.59,0.22,Station1,host-040,10.0.135.185,Windows,New York,Bob,CL-6,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,10,Saturday,8,2025,Low,Low,Low,68.44333333333333,Good
Station1_LOG00069,SRV023,CL-1,2025-08-02 23:40:00,63.88,21.13,19.1,23.9,12.875,499.99,8.19,Station1,host-023,10.0.60.118,Windows,Singapore,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,23,Saturday,8,2025,Medium,Low,Low,65.29666666666665,Good
Station1_LOG00070,SRV031,CL-7,2025-08-01 12:52:00,53.06,61.87,41.7,10.54,9.45,241.21,9.73,Station1,host-031,10.0.74.72,Linux,London,Bob,CL-7,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,12,Friday,8,2025,Medium,Medium,Low,47.79,Fair
Station1_LOG00071,SRV084,CL-9,2025-08-02 14:32:00,38.4,27.48,15.25,28.45,16.69,799.09,3.7,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,14,Saturday,8,2025,Low,Low,Low,72.95666666666666,Good
Station1_LOG00072,SRV073,CL-3,2025-08-01 13:54:00,49.5,63.37,9.18,1.95,6.6,887.46,0.05,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-01,13,Friday,8,2025,Low,Medium,Low,59.31666666666666,Fair
Station1_LOG00073,SRV091,CL-2,2025-08-01 07:25:00,74.79,55.575,79.92,5.95,21.4,304.79,3.22,Station1,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538,2025-08-01,7,Friday,8,2025,Medium,Medium,Medium,29.904999999999987,Poor
Station1_LOG00074,SRV032,CL-4,2025-08-02 12:04:00,89.44,26.08,31.89,14.13,16.64,656.8,3.7,Station1,host-032,10.0.47.156,Linux,New York,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,12,Saturday,8,2025,High,Low,Low,50.86333333333334,Fair
Station1_LOG00075,SRV048,CL-9,2025-08-02 20:39:00,71.07,27.57,61.6,9.45,20.96,668.99,0.73,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,CL-9,fiona@xyzcorp.com,+1-202-230-1591,2025-08-02,20,Saturday,8,2025,Medium,Low,Medium,46.58666666666667,Fair
Station1_LOG00076,SRV066,CL-9,2025-08-01 20:24:00,68.11,88.93,47.83,9.31,2.49,524.22,0.15,Station1,host-066,10.0.248.134,Linux,Frankfurt,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215,2025-08-01,20,Friday,8,2025,Medium,High,Low,31.709999999999994,Poor
Station1_LOG00077,SRV056,CL-4,2025-08-01 09:26:00,41.55,30.18,63.53,1.46,3.74,521.52,5.4,Station1,host-056,10.0.140.244,Windows,New York,George,CL-4,george@xyzcorp.com,+1-202-749-4405,2025-08-01,9,Friday,8,2025,Low,Low,Medium,54.913333333333334,Fair
Station1_LOG00078,SRV005,CL-3,2025-08-02 18:49:00,40.05,70.27,73.56,5.66,18.06,138.34,0.5,Station1,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,18,Saturday,8,2025,Low,Medium,Medium,38.70666666666667,Poor
Station1_LOG00079,SRV081,CL-4,2025-08-02 18:10:00,61.88,60.47,21.65,4.39,17.93,473.26,3.09,Station1,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213,2025-08-02,18,Saturday,8,2025,Medium,Medium,Low,52.0,Fair
Station1_LOG00080,SRV008,CL-1,2025-08-02 12:24:00,78.39,48.66,49.95,2.0,6.76,968.21,7.93,Station1,host-008,10.0.121.33,Linux,New York,Bob,CL-1,bob@xyzcorp.com,+1-202-691-4215,2025-08-02,12,Saturday,8,2025,Medium,Low,Low,41.0,Fair
Station1_LOG00081,SRV054,CL-9,2025-08-01 11:11:00,35.23,74.04,25.01,13.43,10.45,560.85,6.54,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167,2025-08-01,11,Friday,8,2025,Low,Medium,Low,55.24,Fair
Station1_LOG00082,SRV077,CL-1,2025-08-02 15:07:00,82.86,22.41,41.4,13.41,23.08,459.66,9.1,Station1,host-077,10.0.30.24,Linux,New York,Diana,CL-1,diana@xyzcorp.com,+1-202-789-3073,2025-08-02,15,Saturday,8,2025,High,Low,Low,51.11000000000001,Fair
Station1_LOG00083,SRV073,CL-3,2025-08-01 16:08:00,87.94,55.575,15.65,26.71,1.03,208.72,0.32,Station1,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405,2025-08-01,16,Friday,8,2025,High,Medium,Low,46.945,Fair
Station1_LOG00084,SRV078,CL-1,2025-08-02 00:24:00,62.8,68.46,28.52,17.89,13.55,637.38,2.31,Station1,host-078,10.0.59.148,Linux,Singapore,George,CL-1,george@xyzcorp.com,+1-202-749-4405,2025-08-02,0,Saturday,8,2025,Medium,Medium,Low,46.74,Fair
Station1_LOG00085,SRV046,CL-7,2025-08-01 11:03:00,44.54,87.98,66.53,16.71,12.26,347.43,8.6,Station1,host-046,10.0.23.82,Linux,New York,George,CL-7,george@xyzcorp.com,+1-202-749-4405,2025-08-01,11,Friday,8,2025,Low,High,Medium,33.64999999999999,Poor
Station1_LOG00086,SRV016,CL-2,2025-08-02 02:51:00,59.26,22.47,59.39,16.94,1.8,589.54,6.83,Station1,host-016,10.0.2.195,Windows,Mumbai,Charlie,CL-2,charlie@xyzcorp.com,+1-202-817-1167,2025-08-02,2,Saturday,8,2025,Medium,Low,Medium,52.96,Fair
